State_Raw,County_Raw,Count_Total_Population,Count_Kids_0_18,Count_Working_Age_19_64,Count_Seniors_65Plus,Count_Medicaid_Enrollees,Estimated_Medicaid_Spend,Estimated_Total_County_Spend,ACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CHD,CHECKUP,CHOLSCREEN,COGNITION,COLON_SCREEN,COPD,CSMOKING,DENTAL,DEPRESSION,DIABETES,DISABILITY,EMOTIONSPT,FOODINSECU,FOODSTAMP,GHLTH,HEARING,HIGHCHOL,HOUSINSECU,INDEPLIVE,LACKTRPT,LONELINESS,LPA,MAMMOUSE,MHLTH,MOBILITY,OBESITY,PHLTH,SELFCARE,SHUTUTILITY,SLEEP,STROKE,TEETHLOST,VISION,COST_DRIVEN_BY_DIABETES,COST_DRIVEN_BY_CANCER,COST_DRIVEN_BY_COPD,COST_DRIVEN_BY_OBESITY
Colorado,Montezuma County,26204,5489,14453,6262,8441,77657200,414023200,11.5,23.2,14.8,33.9,75.6,7.3,12.0,5.5,68.8,86.4,16.8,54.2,6.3,14.7,60.3,23.6,8.9,31.9,,,,19.8,9.3,35.1,,8.4,,,20.4,66.2,18.8,15.3,28.4,15.0,3.4,,29.8,3.0,12.6,5.5,39068277.0,72689896.0,18984798.0,25302582.0
Colorado,Montrose County,43272,8864,23440,10968,12326,113399200,683697600,13.5,22.9,18.5,34.1,51.6,7.2,11.1,8.0,67.9,82.7,14.9,62.7,8.0,13.4,60.5,24.1,11.5,32.7,,,,20.2,6.7,28.5,,7.9,,,19.8,71.6,15.7,11.2,27.7,13.2,4.0,,31.7,2.9,15.7,5.4,83362643.0,118392192.0,39810240.0,40753570.0
Colorado,Morgan County,29186,7638,16939,4609,7241,66617200,461138800,17.9,25.7,17.4,29.1,70.4,6.7,11.1,6.6,68.7,82.2,16.8,57.7,6.9,13.8,58.0,21.7,9.9,33.1,,,,20.6,7.0,29.6,,8.4,,,22.7,67.6,18.1,12.4,32.1,14.7,4.1,,32.2,3.1,12.0,5.8,48403463.0,74307556.0,23159091.0,31853600.0
Colorado,Otero County,18460,4315,10269,3876,7043,64795600,291668000,18.8,24.3,15.5,35.6,74.9,8.7,11.3,6.4,69.0,80.6,18.9,51.5,7.3,15.3,48.9,22.5,14.5,34.8,,,,23.8,10.0,36.7,,10.4,,,26.2,63.7,19.2,14.9,35.1,15.8,4.9,,34.5,4.6,19.5,8.1,44840078.0,61028760.0,15497170.0,22030164.0
Colorado,Ouray County,5024,633,2609,1782,474,4360800,79379200,7.0,21.2,15.1,34.0,77.6,7.9,10.8,4.4,77.6,91.0,12.3,69.4,4.3,9.1,70.1,21.1,6.6,22.8,,,,11.8,8.2,38.5,,5.6,,,15.3,71.2,15.7,7.9,22.8,10.2,2.8,,28.1,3.4,6.4,3.0,5554695.0,15082048.0,2484368.0,3894605.0
Colorado,Park County,17739,2605,11087,4047,2412,22190400,280276200,8.2,30.3,21.0,25.2,50.7,7.7,10.9,4.8,69.6,84.8,12.0,66.6,6.5,11.3,67.9,22.7,7.2,26.6,,,,13.3,6.1,37.0,,6.3,,,16.0,73.5,14.4,8.8,22.5,11.0,3.1,,28.0,3.3,6.0,3.4,21395788.0,51904314.0,13259903.0,13570335.0
Colorado,Phillips County,4491,1168,2515,808,1154,10616800,70957800,14.6,23.6,18.0,28.3,51.4,9.7,11.3,5.8,68.6,81.8,17.2,59.1,8.3,14.3,57.2,24.0,11.9,34.1,,,,21.5,7.2,29.2,,9.2,,,22.5,68.0,18.5,12.6,29.4,14.1,3.9,,34.7,3.1,12.7,6.3,8952755.0,16553826.0,4286660.0,4489204.0
Colorado,Pitkin County,17119,2560,10855,3704,1845,16974000,270480200,6.9,26.0,18.1,23.3,49.6,10.5,10.2,4.3,70.3,86.4,10.6,61.3,4.9,8.3,73.2,20.4,8.4,24.0,,,,12.4,6.9,28.2,,5.2,,,12.6,75.1,14.7,7.5,20.7,9.7,2.4,,24.8,2.8,7.2,2.9,24089309.0,68304810.0,9646556.0,12048352.0
Colorado,Prowers County,11931,3070,6638,2223,4174,38400800,188509800,19.0,27.6,17.7,28.7,73.1,6.6,11.2,6.1,67.7,82.9,17.8,53.2,6.9,15.0,52.3,22.4,12.6,35.3,,,,22.4,7.5,34.4,,9.4,,,26.3,65.3,18.7,13.9,29.2,15.9,4.4,,33.0,4.0,17.0,7.0,25183382.0,29922948.0,9467248.0,11845097.0
Colorado,Pueblo County,168726,37145,98843,32738,54461,501041200,2665870800,16.8,28.8,17.9,32.2,51.8,6.5,11.2,6.9,72.9,84.9,17.4,58.3,7.2,14.2,59.1,22.6,10.4,35.2,,,,20.9,8.3,27.2,,8.4,,,25.7,68.8,17.3,12.8,32.3,15.2,4.3,,36.7,3.7,15.7,5.9,293955787.0,416753220.0,139705128.0,185294893.0
